YEAR,OP_FP,BAND_NUMBER,LOWER_BOUNDARY
2017,FPA,1,219.0921
2017,FPA,2,209.0106
2017,FPA,3,199.85
2017,FPA,4,190.5339
2017,FPA,5,182.0193
2017,FPA,6,173.9362
2017,FPA,7,165.9631
2017,FPA,8,157.6903
2017,FPA,9,149.3217
2017,FPA,10,115.881
2017,FPB,1,219.2084
2017,FPB,2,209.4375
2017,FPB,3,200.4326
2017,FPB,4,190.9897
2017,FPB,5,182.3214
2017,FPB,6,174.0662
2017,FPB,7,165.738
2017,FPB,8,157.0382
2017,FPB,9,147.9601
2017,FPB,10,76.6844
2017,FPC,1,222.2305
2017,FPC,2,211.1179
2017,FPC,3,201.1976
2017,FPC,4,191.6672
2017,FPC,5,183.0864
2017,FPC,6,175.1195
2017,FPC,7,167.1188
2017,FPC,8,158.657
2017,FPC,9,149.3676
2017,FPC,10,110.915
2017,FPD,1,229.4606
2017,FPD,2,219.702
2017,FPD,3,210.3605
2017,FPD,4,200.447
2017,FPD,5,191.294
2017,FPD,6,182.4795
2017,FPD,7,173.9185
2017,FPD,8,164.931
2017,FPD,9,155.7925
2017,FPD,10,122.289
2017,FPE,1,210.0621
2017,FPE,2,200.5134
2017,FPE,3,192.1073
2017,FPE,4,183.5846
2017,FPE,5,175.9117
2017,FPE,6,168.4314
2017,FPE,7,160.881
2017,FPE,8,153.0643
2017,FPE,9,144.9487
2017,FPE,10,96.5027
2017,OP,1,224.0714
2017,OP,2,213.6707
2017,OP,3,206.153
2017,OP,4,199.7953
2017,OP,5,194.5218
2017,OP,6,189.4997
2017,OP,7,184.6089
2017,OP,8,179.835
2017,OP,9,175.059
2017,OP,10,170.8879
2017,OP,11,166.8853
2017,OP,12,163.255
2017,OP,13,159.4459
2017,OP,14,155.5807
2017,OP,15,151.7091
2017,OP,16,147.7925
2017,OP,17,143.7825
2017,OP,18,139.6147
2017,OP,19,135.808
2017,OP,20,131.6334
2017,OP,21,126.0603
2017,OP,22,120.786
2017,OP,23,112.55
2017,OP,24,102.6976
2017,OP,25,0
2016,FPA,1,219.254
2016,FPA,2,208.9276
2016,FPA,3,199.7806
2016,FPA,4,190.4124
2016,FPA,5,182.0133
2016,FPA,6,173.9701
2016,FPA,7,165.9359
2016,FPA,8,157.6344
2016,FPA,9,149.4699
2016,FPA,10,112.683
2016,FPB,1,218.5244
2016,FPB,2,209.0736
2016,FPB,3,199.9929
2016,FPB,4,190.8159
2016,FPB,5,182.359
2016,FPB,6,174.2576
2016,FPB,7,166.1684
2016,FPB,8,157.6683
2016,FPB,9,148.6683
2016,FPB,10,1.3239
2016,FPC,1,220.7301
2016,FPC,2,210.1984
2016,FPC,3,200.1899
2016,FPC,4,190.9731
2016,FPC,5,182.5692
2016,FPC,6,174.7394
2016,FPC,7,167.0497
2016,FPC,8,158.7373
2016,FPC,9,149.4962
2016,FPC,10,64.1741
2016,FPD,1,230.4032
2016,FPD,2,221.2641
2016,FPD,3,211.846
2016,FPD,4,201.9186
2016,FPD,5,192.8698
2016,FPD,6,184.2665
2016,FPD,7,175.9442
2016,FPD,8,167.2014
2016,FPD,9,157.8864
2016,FPD,10,122.831
2016,FPE,1,208.951
2016,FPE,2,199.0691
2016,FPE,3,190.6825
2016,FPE,4,182.3095
2016,FPE,5,174.9939
2016,FPE,6,167.7951
2016,FPE,7,160.7297
2016,FPE,8,153.344
2016,FPE,9,145.3556
2016,FPE,10,108.234
2016,OP,1,224.6897
2016,OP,2,214.3284
2016,OP,3,206.6367
2016,OP,4,200.5054
2016,OP,5,195.2519
2016,OP,6,190.2487
2016,OP,7,185.3764
2016,OP,8,180.4402
2016,OP,9,175.8627
2016,OP,10,171.7073
2016,OP,11,167.7199
2016,OP,12,163.9338
2016,OP,13,160.3086
2016,OP,14,156.458
2016,OP,15,152.6011
2016,OP,16,148.6993
2016,OP,17,144.7044
2016,OP,18,140.5523
2016,OP,19,136.7601
2016,OP,20,132.6013
2016,OP,21,127.0492
2016,OP,22,121.7948
2016,OP,23,113.59
2016,OP,24,103.7749
2016,OP,25,0
2015,FPA,1,219.4666
2015,FPA,2,209.2632
2015,FPA,3,200.1987
2015,FPA,4,190.7379
2015,FPA,5,182.0792
2015,FPA,6,173.7783
2015,FPA,7,165.7267
2015,FPA,8,157.1776
2015,FPA,9,148.2864
2015,FPA,10,104.983
2015,FPB,1,219.1186
2015,FPB,2,209.2351
2015,FPB,3,200.1852
2015,FPB,4,190.9607
2015,FPB,5,182.3855
2015,FPB,6,174.2262
2015,FPB,7,166.157
2015,FPB,8,157.6178
2015,FPB,9,148.6666
2015,FPB,10,96.2372
2015,FPC,1,221.4975
2015,FPC,2,210.2479
2015,FPC,3,200.491
2015,FPC,4,191.1382
2015,FPC,5,182.6943
2015,FPC,6,174.8122
2015,FPC,7,166.9562
2015,FPC,8,158.5104
2015,FPC,9,148.8727
2015,FPC,10,107.786
2015,FPD,1,230.5143
2015,FPD,2,221.64
2015,FPD,3,212.3787
2015,FPD,4,202.9021
2015,FPD,5,194.2062
2015,FPD,6,185.8992
2015,FPD,7,177.4694
2015,FPD,8,168.6228
2015,FPD,9,157.8524
2015,FPD,10,124.572
2015,FPE,1,209.8892
2015,FPE,2,200.3221
2015,FPE,3,191.9914
2015,FPE,4,183.5253
2015,FPE,5,175.8853
2015,FPE,6,168.6155
2015,FPE,7,161.2817
2015,FPE,8,153.6708
2015,FPE,9,145.2192
2015,FPE,10,113.481
2015,OP,1,224.5009
2015,OP,2,214.5619
2015,OP,3,206.9835
2015,OP,4,200.8959
2015,OP,5,195.9845
2015,OP,6,191.1634
2015,OP,7,186.1559
2015,OP,8,181.1579
2015,OP,9,176.5899
2015,OP,10,172.5
2015,OP,11,168.5559
2015,OP,12,164.8159
2015,OP,13,161.3169
2015,OP,14,157.5299
2015,OP,15,153.7819
2015,OP,16,149.9219
2015,OP,17,145.9689
2015,OP,18,141.8439
2015,OP,19,138.1579
2015,OP,20,134.1509
2015,OP,21,128.5528
2015,OP,22,123.375
2015,OP,23,115.0194
2015,OP,24,105.893
2015,OP,25,0
2014,FPA,1,219.7335
